index,n_methods,total_time_min,baseline_equal_gCO2,rel_diff_median,rel_diff_p10,rel_diff_p90,abs_rel_diff_median,abs_rel_diff_p90
E2172,2,90,72.92469243171303,0.001619545093334053,-0.04059564691746486,0.04167913205567297,0.020933173198029127,0.0511051722669361
E2173,3,35,64.24997610404094,-0.0004113946823909601,-0.01284835462810525,0.01324590426957364,0.007230021455852132,0.016249566990178696
E2174,2,90,36.29156054952959,0.0,-1.9578731942110166e-16,1.9578731942110166e-16,0.0,1.9578731942110166e-16
E2177,3,35,72.29199617409131,-0.0007669875055964326,-0.012935350680678848,0.012171096487834302,0.006830114721907919,0.015614434340900284
E2178,2,20,252.79032578092642,0.004474762326144754,-0.14104210230487724,0.13090994324325844,0.06954695043710168,0.16500941299646033
E218,2,20,58.83793956284511,-0.0013970310043252975,-0.012549279595976322,0.011580116288312965,0.006830518656585342,0.014665116938099305
E2181,2,20,58.83793956284511,-0.00010689727883108415,-0.01137325514553992,0.01217550792430061,0.006330384764533289,0.013579381827738372
E2182,2,20,67.57358463651227,0.0,0.0,0.0,0.0,0.0
E2183,2,50,22.868052438447897,0.00020609718440909542,-0.07329140488929298,0.070735568921181,0.04057357158835816,0.09252240004208714
E2185,2,20,58.86076681080151,-0.00043468248212711073,-0.0110824150973064,0.01189434253228489,0.0061750098220993525,0.014106492300810493
E2186,3,60,458.86272609680736,-0.007563348717659514,-0.16120085122967784,0.15645095759549216,0.08566228370098282,0.18675979094954548
E2188,3,30,62.90838059272018,0.00035408341590849324,-0.012091059376553763,0.012031615074070016,0.00648122645928066,0.014874224580720515
E219,2,20,67.57358463651227,0.0,0.0,0.0,0.0,0.0
E2190,2,30,12.142841345756002,1.4628840061565148e-16,-1.4628840061565148e-16,1.4628840061565148e-16,1.4628840061565148e-16,1.4628840061565148e-16
E2191,2,35,61.856529463316804,-0.0006804810046885688,-0.020475874805279085,0.01899989124742098,0.01077068115889171,0.024174767568141346
E2193,2,20,8.118054811793737,2.1881557597019388e-16,0.0,4.3763115194038776e-16,2.1881557597019388e-16,4.3763115194038776e-16
E2197,2,30,12.142841345756002,1.4628840061565148e-16,-1.4628840061565148e-16,1.4628840061565148e-16,1.4628840061565148e-16,1.4628840061565148e-16
E2198,2,45,21.86185580495733,0.0024530527051883104,-0.06405268302461654,0.0711180611254819,0.037532304129633744,0.0832114853716746
E2199,2,60,66.88751263076963,-0.0020581320308817714,-0.028925775327428082,0.029862978365534875,0.015251732228101163,0.03685759529371521
E2200,2,50,64.8751193637885,0.0007678806204128748,-0.024078643042339278,0.027457980771504357,0.013029619690135032,0.030785678443657285
E2202,2,30,60.87316007778264,0.0006430734172629584,-0.014963997011622314,0.01590663844541264,0.008190518663382275,0.019558294377562256
E2204,2,180,72.51463935518998,-1.9597221804544368e-16,-3.9194443609088735e-16,0.0,1.9597221804544368e-16,3.9194443609088735e-16
E2205,2,20,8.118054811793737,2.1881557597019388e-16,0.0,4.3763115194038776e-16,2.1881557597019388e-16,4.3763115194038776e-16
E2208,2,90,36.29156054952959,0.0,0.0,1.9578731942110166e-16,0.0,1.9578731942110166e-16
E2209,2,40,404.09522756383734,0.006636618160786533,-0.15422169315238937,0.1669397329585039,0.0878886699790403,0.20200053595347484
E221,2,15,67.57358463651227,0.0,0.0,0.0,0.0,0.0
E2214,2,20,252.79032578092642,0.002001971048626794,-0.14122213372407075,0.13091138699149918,0.07191317550812423,0.16839779042502329
E2215,2,25,59.84413619633567,-0.00029625688956527285,-0.01316519735271399,0.013125410829651551,0.006900073422300151,0.016794156283623227
E2218,3,45,66.93316712668245,-0.00038178266485876494,-0.017328181715753482,0.016801871701414513,0.009854706388001027,0.020733512794549477
E2219,3,20,70.30243015506659,-0.00018659237257082637,-0.007434203376029971,0.007552257127299386,0.004240634314536483,0.008955541593006787
E2223,2,40,62.86272609680737,5.982454348985502e-06,-0.02228648596871322,0.02082895921195875,0.01045446586674029,0.025852584616304825
E2224,2,15,57.85457017731094,-0.0002092487686609173,-0.008547459362968328,0.008851459961025621,0.005041531490134799,0.010416472826081736
E2229,2,30,303.0828342968562,-0.000714401132399657,-0.16979026076387593,0.1491307814678083,0.0774426475903324,0.19867487033174006
E2230,2,30,60.850332829826236,-0.0006818618353694632,-0.016981273611826074,0.01596141887865059,0.009010604021202673,0.02147214773159918
E2233,2,25,17.837069270995066,-0.0007509738279737362,-0.047307573855183,0.048711441277127066,0.024187429063454363,0.059034045242543784
E2235,3,35,22.242909178700323,-0.0023586668972971625,-0.04120449429285192,0.0369904994874513,0.020083948321371965,0.049198697493265754
E2237,2,90,36.29156054952959,0.0,0.0,1.9578731942110166e-16,0.0,1.9578731942110166e-16
E224,2,60,593.0971868498432,0.0037444337192102384,-0.1663099473257984,0.16428598026999366,0.0942480925291021,0.2010707188854476
E2241,4,15,143.37853408266093,0.0020214794516141255,-0.09484668018816257,0.10882677556896285,0.05993086127877155,0.12689043031891975
E2243,2,60,606.0971868498432,-0.005830484241573648,-0.15263984681757628,0.15735526385106038,0.09628901455116273,0.19291368639775283
E2245,2,30,60.850332829826236,-0.0003415136490746047,-0.017057232278464764,0.015784375475638834,0.008575470914411569,0.020994698530503817
E2246,2,20,16.8308726375045,-0.0003155723980766418,-0.03823230861721018,0.03883928137772528,0.021781194142852095,0.04828225305344082
E2247,2,20,67.57358463651227,0.0,0.0,0.0,0.0,0.0
E2250,2,20,58.86076681080151,0.0002684236341496863,-0.011246459480308921,0.012044049679314882,0.006432331597727367,0.014297060893517403
E2251,2,20,67.57358463651227,0.0,0.0,0.0,0.0,0.0
E2252,3,50,68.2747626380032,0.00025504909710030233,-0.017895023956639975,0.018703454699394714,0.010194026378053566,0.022853755731018277
E2253,4,60,79.71642598226828,0.00032388285266049944,-0.018209053992048065,0.01803471515393835,0.009585869391045054,0.02297501562579157
E2258,2,30,12.142841345756002,1.4628840061565148e-16,-1.4628840061565148e-16,1.4628840061565148e-16,1.4628840061565148e-16,1.4628840061565148e-16
E2260,2,20,67.57358463651227,0.0,0.0,0.0,0.0,0.0
E2261,2,15,57.85457017731094,-8.4428516848078e-05,-0.009719138337985413,0.009354731234305117,0.004706954329312549,0.011326422045770591
E2262,2,15,57.83174292935454,1.916306843993065e-05,-0.008617826312561859,0.008184794966304304,0.004594207811290082,0.010529887246505823
